幸腹グラフィティ,銃皇無尽のファフニール,冴えない彼女の育てかた,暗殺教室,探偵歌劇ミルキィホームズTD,艦隊これくしょん -艦これ-,アイドルマスターシンデレラガールズ,ジョジョの奇妙な冒険 スターダストクルセイダース,アルドノア・ゼロ(後半),少年ハリウッド-HOLLY STAGE FOR 50-,デュラララ!!×２,蒼穹のファフナー EXODUS,純潔のマリア,美男高校地球防衛部LOVE!,聖剣使いの禁呪詠唱＜ワールドブレイク＞,DOG DAYS″,血液型くん！2,ISUCA,東京喰種トーキョーグール√A,黒子のバスケ 第3期,アブソリュート・デュオ,新妹魔王の契約者(テスタメント) ,ローリング☆ガールズ,夜ノヤッターマン,みんな集まれ！ファルコム学園SC,神様はじめました◎,戦国無双,デス・パレード,美少女戦士セーラームーンCrystal 2期
0.324006291,0.411838751,0.3157246,0.282549601,0.374758386,0.287072166,0.297482792,0.313036629,0.30376353,0.344719051,0,0.347400531,0.355757401,0.29160745,0.397685826,0.352885,0.474561156,0.374108559,0.283841271,0.275799171,0.353685672,0.364496607,0.346577057,0.359764449,0.47380123,0.33805645,0.374889461,0.32239895,0.318451695
0.341009018,0.414659076,0.345175499,0.343695048,0.391374965,0.305486762,0.311031486,0.341424212,0.330859785,0.377038884,0.347400531,0,0.371232875,0.348383027,0.405616515,0.364810177,0.516929853,0.369451151,0.343821609,0.341364627,0.372585581,0.378718815,0.371842749,0.376764689,0.460153837,0.378293135,0.402297695,0.374108559,0.362961616
0.330411039,0.38780144,0.333672651,0.339961283,0.381811518,0.314509738,0.321239731,0.351712321,0.337406069,0.395829653,0.355757401,0.371232875,0,0.372089014,0.399612037,0.361869389,0.533315908,0.35508321,0.354173589,0.367962194,0.346918122,0.366412466,0.34817047,0.351635316,0.468006915,0.381357125,0.420451094,0.37111188,0.38991431
0.341783641,0.410481624,0.335827005,0.285965147,0.392689278,0.297751449,0.307445373,0.328246049,0.297700895,0.320285348,0.29160745,0.348383027,0.372089014,0,0.413230697,0.376492104,0.474561156,0.383358259,0.291184439,0.280271658,0.3698019,0.38780144,0.376901584,0.374108559,0.470842681,0.329096743,0.359300109,0.32148245,0.315373028
0.351252438,0.404168388,0.350273368,0.38528278,0.395829653,0.332099323,0.335518916,0.384794387,0.371354195,0.441998505,0.397685826,0.405616515,0.399612037,0.413230697,0,0.380313512,0.647639852,0.370155408,0.402759128,0.444361497,0.35793666,0.368415074,0.380019521,0.400714179,0.508005416,0.429483233,0.473049573,0.43458799,0.497859163
0.320218166,0.373340727,0.322938749,0.34557095,0.362263388,0.300723809,0.30362066,0.343380409,0.333965959,0.401161702,0.352885,0.364810177,0.361869389,0.376492104,0.380313512,0,0.534979152,0.341305134,0.358295998,0.384310893,0.33650324,0.35079765,0.353524297,0.35793666,0.465955425,0.388670775,0.416125613,0.389022873,0.387629413
0.511707219,0.547622692,0.477686845,0.428365736,0.620045889,0.449375738,0.498921986,0.526973927,0.523975819,0.530084769,0.474561156,0.516929853,0.533315908,0.474561156,0.647639852,0.534979152,0,0.540173121,0.480126284,0.483515538,0.518290759,0.616048321,0.536675646,0.543818416,0.604882912,0.519675084,0.562381856,0.501093588,0.514275604
0.324156088,0.368188059,0.321378222,0.346306278,0.375152735,0.301494622,0.308070912,0.351252438,0.34831205,0.413797583,0.374108559,0.369451151,0.35508321,0.383358259,0.370155408,0.341305134,0.540173121,0,0.37233662,0.399394409,0.336661017,0.344525024,0.351328729,0.359951604,0.468704834,0.393263332,0.413230697,0.381508106,0.409683428
0.322613881,0.39562754,0.312416966,0.279570371,0.379436982,0.283611401,0.298433587,0.314595081,0.297903611,0.339334662,0.283841271,0.343821609,0.354173589,0.291184439,0.402759128,0.358295998,0.480126284,0.37233662,0,0.279053765,0.348241198,0.363264324,0.351252438,0.35793666,0.47380123,0.337298739,0.378576491,0.316650016,0.318039576
0.349609031,0.429108346,0.335162619,0.275334124,0.398961896,0.285863534,0.301494622,0.311992587,0.30172387,0.325338852,0.275799171,0.341364627,0.367962194,0.280271658,0.444361497,0.384310893,0.483515538,0.399394409,0.279053765,0,0.386947304,0.394431554,0.386107899,0.381963953,0.504471832,0.332427559,0.355927655,0.320285348,0.297100694
0.308996245,0.382578621,0.288065027,0.33054509,0.359951604,0.291759023,0.300262991,0.345504768,0.335518916,0.401161702,0.353685672,0.372585581,0.346918122,0.3698019,0.35793666,0.33650324,0.518290759,0.336661017,0.348241198,0.386947304,0,0.32845687,0.334960519,0.351712321,0.449899937,0.370273864,0.411291809,0.363671234,0.404646686
0.322434681,0.389734727,0.317137653,0.352021791,0.373213999,0.30115387,0.306141171,0.34597036,0.343380409,0.407865867,0.364496607,0.378718815,0.366412466,0.38780144,0.368415074,0.35079765,0.616048321,0.344525024,0.363264324,0.394431554,0.32845687,0,0.352255427,0.370750824,0.476106467,0.387629413,0.463964775,0.398532996,0.437530048
0.313667985,0.385611141,0.320759282,0.34530688,0.36128504,0.299043145,0.302638244,0.339165514,0.333381619,0.400270494,0.346577057,0.371842749,0.34817047,0.376901584,0.380019521,0.353524297,0.536675646,0.351328729,0.351252438,0.386107899,0.334960519,0.352255427,0,0.346509191,0.447828814,0.375951694,0.42241219,0.354255467,0.407611187
0.362861179,0.394234954,0.332521874,0.338606986,0.385119433,0.293759153,0.306141171,0.335827005,0.346509191,0.417938427,0.359764449,0.376764689,0.351635316,0.374108559,0.400714179,0.35793666,0.543818416,0.359951604,0.35793666,0.381963953,0.351712321,0.370750824,0.346509191,0,0.460773921,0.385119433,0.405616515,0.365764543,0.368301422
0.434999527,0.512980982,0.448340238,0.461399899,0.483515538,0.377314705,0.396032576,0.431007306,0.455970445,0.505631827,0.47380123,0.460153837,0.468006915,0.470842681,0.508005416,0.465955425,0.604882912,0.468704834,0.47380123,0.504471832,0.449899937,0.476106467,0.447828814,0.460773921,0,0.484388641,0.504471832,0.480126284,0.497859163
0.351405162,0.412669639,0.356270246,0.323193504,0.388147324,0.332711225,0.347539431,0.363978926,0.358386309,0.370155408,0.33805645,0.378293135,0.381357125,0.329096743,0.429483233,0.388670775,0.519675084,0.393263332,0.337298739,0.332427559,0.370273864,0.387629413,0.375951694,0.385119433,0.484388641,0,0.400714179,0.361869389,0.359578108
0.384471519,0.43458799,0.385611141,0.327087527,0.474561156,0.321937715,0.354091871,0.366959748,0.401161702,0.419180655,0.374889461,0.402297695,0.420451094,0.359300109,0.473049573,0.416125613,0.562381856,0.413230697,0.378576491,0.355927655,0.411291809,0.463964775,0.42241219,0.405616515,0.504471832,0.400714179,0,0.388147324,0.354916344
0.343068259,0.414659076,0.34426779,0.31991744,0.413513404,0.315695163,0.321586988,0.344525024,0.330589882,0.370037263,0.32239895,0.374108559,0.37111188,0.32148245,0.43458799,0.389022873,0.501093588,0.381508106,0.316650016,0.320285348,0.363671234,0.398532996,0.354255467,0.365764543,0.480126284,0.361869389,0.388147324,0,0.360139581
